ts,question,rewritten,decision,had_answer,latency_ms
2025-10-04T04:24:05.489064,97B + 20%,97B + 20%,graph,1,0
2025-10-04T04:24:17.943464,Who is Tesla’s CEO?,Who is Tesla’s CEO?,graph,1,11
2025-10-04T04:24:28.378339,Query with vector,Query with vector,vector,1,15
2025-10-04T04:24:42.714519,Debug and log everything with latency + answer status,Debug and log everything with latency + answer status,vector,1,2
2025-10-04T04:36:59.744403,97B + 20%,97B + 20%,math,1,0
2025-10-04T04:37:11.880298,93B + 20%,93B + 20%,math,1,0
2025-10-04T04:37:19.135582,99B + 20%,99B + 20%,math,1,0
2025-10-04T04:37:25.143551,9B + 20%,9B + 20%,math,1,0
2025-10-04T04:38:05.897647,97B - 20% ,97B - 20%,math,1,0
2025-10-04T04:38:25.901430,12M + 3.5B ,12M + 3.5B,math,1,0
2025-10-04T20:01:52.563542,	Who is Tesla’s CEO?,Who is Tesla’s CEO?,graph,1,75
2025-10-04T20:04:05.770960,Who is Tesla’s CEO?,Who is Tesla’s CEO?,graph,1,16
2025-10-04T20:04:17.048021,97B + 20%,97B + 20%,math,1,0
2025-10-04T20:07:30.662896,Who is Tesla’s CEO?,Who is Tesla’s CEO?,graph,1,15
2025-10-04T20:07:39.238471,Tell me about Tesla 2024,Tell me about Tesla 2024 revenue,math,1,0
2025-10-04T20:07:56.035551,97B + 20%,97B + 20%,math,1,0
2025-10-04T20:11:39.801803,Who is Tesla’s CEO?,Who is Tesla’s CEO?,graph,1,15
2025-10-04T20:11:46.270059,Metformin side effects,Metformin side effects,graph,1,92
2025-10-04T20:12:25.444675,	Tell me about Tesla 2024,Tell me about Tesla 2024 revenue,math,1,0
2025-10-06T01:09:39.634030,Tesla Ceo?,Tesla Ceo?,graph,1,859
2025-10-06T01:50:02.722596,,Elon musk is CEO of tesla,vector,1,5
2025-10-06T12:44:28.749673,Who is Tesla’s CEO?,Who is Tesla’s CEO?,vector,1,13
2025-10-06T12:45:55.454307,Who is the CEO of Tesla? ,Who is the CEO of Tesla?,graph,1,36
2025-10-06T12:46:22.897690,Does Ibuprofen interact with Aspirin?,Does Ibuprofen interact with Aspirin?,graph,1,40
2025-10-06T12:46:50.462065,Who is the CEO of Tesla?,Who is the CEO of Tesla?,graph,1,21
2025-10-06T12:51:49.368433,100+20,100+20,math,1,0
2025-10-06T12:51:59.793864,Who is Tesla’s CEO? ,Who is Tesla’s CEO?,graph,1,8
2025-10-06T12:52:06.144821,Who is Tesla’s CEO? ,Who is Tesla’s CEO?,vector,1,3
2025-10-06T12:52:09.033814,Who is Tesla’s CEO? ,Who is Tesla’s CEO?,graph,1,8
2025-10-06T12:52:31.256925,Elon musk is CEO of tesla,Elon musk is CEO of tesla,graph,1,5
2025-10-06T12:52:40.756209,Elon musk is CEO of tesla,Elon musk is CEO of tesla,graph,1,5
2025-10-06T12:57:56.953077," Who is Tesla’s CEO?

[Image OCR]: Elon musk is CEO of tesla","Who is Tesla’s CEO?

[Image OCR]: Elon musk is CEO of tesla",vector,1,2
2025-10-06T12:58:13.800899,Who is the CEO of Tesla?,Who is the CEO of Tesla?,graph,1,21
2025-10-06T12:58:29.660928,Does Ibuprofen interact with Aspirin? ,Does Ibuprofen interact with Aspirin?,graph,1,8
2025-10-06T13:00:08.070941,who is tesla's ceo?,who is tesla's ceo?,graph,1,31
2025-10-06T13:02:57.527530,Who is the CEO of Tesla?,Who is the CEO of Tesla?,graph,1,7
2025-10-06T13:03:46.482710,Who is Tesla's Ceo?,Who is Tesla's Ceo?,graph,1,9
2025-10-06T13:05:12.529460,Who is Tesla's Ceo?,Who is Tesla's Ceo?,graph,1,11
2025-10-06T13:07:02.139154,Tesla CEO,Tesla CEO,graph,1,5
2025-10-06T13:07:03.332738,Tesla CEO,Tesla CEO,graph,1,6
2025-10-06T13:07:09.936670,Tesla CEO,Tesla CEO,graph,1,5
2025-10-06T13:07:19.136721,Who runs Tesla?,tesla ceo,graph,1,5
2025-10-06T13:38:34.637640,Who is Tesla Ceo?,Who is Tesla Ceo?,graph,1,74
2025-10-06T13:51:39.371369,Tesla Ceo?,Tesla Ceo?,vector,1,6
2025-10-06T13:51:42.808205,Tesla Ceo?,Tesla Ceo?,graph,1,0
2025-10-06T13:59:51.736279,Who is the CEO of Tesla?,Who is the CEO of Tesla?,graph,1,285
2025-10-06T14:00:40.683994,tesla ceo?,tesla ceo?,graph,1,130
2025-10-06T14:01:51.260130,Do Ibuprofen and Aspirin interact?,Do Ibuprofen and Aspirin interact?,graph,1,99
2025-10-06T14:15:18.222111,TESLA CEO?,TESLA CEO?,vector,1,6
2025-10-06T15:02:40.291106,Who is the CEO of Tesla?,Who is the CEO of Tesla?,graph,1,910
2025-10-06T15:05:03.564384,Who is the CEO of Tesla?,Who is the CEO of Tesla?,vector,1,10
2025-10-06T15:10:53.843607,"Who is the CEO of Tesla?

[Image OCR]: Elon musk is CEO of tesla","Who is the CEO of Tesla?

[Image OCR]: Elon musk is CEO of tesla",graph,1,62
2025-10-06T15:11:55.438119,Who is CEO of tesla,Who is CEO of tesla,graph,1,10
2025-10-06T15:12:18.608289,Who is CEO of Apple,Who is CEO of Apple,vector,1,1
2025-10-06T15:14:33.669201,"Is acetaminophen an NSAID?

[Image OCR]: Who is CEO of Apple","Is acetaminophen an NSAID?

[Image OCR]: Who is CEO of Apple",vector,1,1
2025-10-06T15:15:36.505891,"What is 100 - 20? Also, who is the CEO of Tesla?","What is 100 - 20? Also, who is the CEO of Tesla?",math,1,0
2025-10-06T15:16:44.055349,"Who is the CEO of Tesla, and what is 100 - 20?","Who is the CEO of Tesla, and what is 100 - 20?",vector,1,2
2025-10-06T15:28:49.906583,Who is the Ceo of Tesla? and also what is 100-20,Who is the Ceo of Tesla? and also what is 100-20,vector,1,2
2025-10-06T15:29:16.919328,tesla ceo?,tesla ceo?,vector,1,4
2025-10-06T15:30:23.976812,1000-90,1000-90,math,1,0
2025-10-06T15:30:27.271485,1000-90,1000-90,math,1,0
2025-10-06T15:30:33.335561,tesla ceo,tesla ceo,vector,1,1
